surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
APC,APC,324,ENSG00000134982,"['1DEB', '1EMU', '1JPP', '1M5I', '1T08', '1TH1', '1V18', '2RQU', '3AU3', '3NMW', '3NMX', '3NMZ', '3QHE', '3RL7', '3RL8', '3T7U', '4G69', '4YJE', '4YJL', '4YK6', '5B6G', '5IZ6', '5IZ8', '5IZ9', '5IZA', '5Z8H']",APC regulator of WNT signaling pathway
Apc,APC,324,ENSG00000134982,"['1DEB', '1EMU', '1JPP', '1M5I', '1T08', '1TH1', '1V18', '2RQU', '3AU3', '3NMW', '3NMX', '3NMZ', '3QHE', '3RL7', '3RL8', '3T7U', '4G69', '4YJE', '4YJL', '4YK6', '5B6G', '5IZ6', '5IZ8', '5IZ9', '5IZA', '5Z8H']",APC regulator of WNT signaling pathway
Aprotinin,LOC100158011,100158011,,,pancreatic trypsin inhibitor-like
Armadillo,armadillo,101899911,MDOA012332,,armadillo segment polarity protein-like
armadillo,armadillo,101899911,MDOA012332,,armadillo segment polarity protein-like
Arp,Arp,110301,,,Arp lymphoid/erythroid hyperplasia
A-SMase,NSMAF,8439,ENSG00000035681,,neutral sphingomyelinase activation associated factor
AtFim1,,fgenesh1_pm.C_scaffold_8001213,,,ATFIM1
basic calponin,ACA1_188190,14916539,,,"basic calponin isoform 4, putative"
BAX,BAX,581,ENSG00000087088,"['1F16', '2G5B', '2K7W', '2LR1', '3PK1', '3PL7', '4BD2', '4BD6', '4BD7', '4BD8', '4BDU', '4S0O', '4S0P', '4UF2', '4ZIE', '4ZIF', '4ZIG', '4ZIH', '4ZII', '5W5X', '5W5Z', '5W60', '5W61', '6EB6', '6L8V', '6L95', '6TRR', '6XY6']","BCL2 associated X, apoptosis regulator"
beta1D integrin,ITGB1,374058,ENSGALG00000007145,,integrin subunit beta 1
beta-cat,GNB1L,54584,ENSG00000185838,,G protein subunit beta 1 like
beta-MHC,YL,429875,,,MHC class II antigen beta chain YL
brain profilin,profilin,543782,Solyc08g066110.3,,profilin protein
BRCA1,BRCA1,672,ENSG00000012048,"['1JM7', '1JNX', '1N5O', '1OQA', '1T15', '1T29', '1T2U', '1T2V', '1Y98', '2ING', '3COJ', '3K0H', '3K0K', '3K15', '3K16', '3PXA', '3PXB', '3PXC', '3PXD', '3PXE', '4IFI', '4IGK', '4JLU', '4OFB', '4U4A', '4Y18', '4Y2G', '6G2I']",BRCA1 DNA repair associated
Brca1,BRCA1,672,ENSG00000012048,"['1JM7', '1JNX', '1N5O', '1OQA', '1T15', '1T29', '1T2U', '1T2V', '1Y98', '2ING', '3COJ', '3K0H', '3K0K', '3K15', '3K16', '3PXA', '3PXB', '3PXC', '3PXD', '3PXE', '4IFI', '4IGK', '4JLU', '4OFB', '4U4A', '4Y18', '4Y2G', '6G2I']",BRCA1 DNA repair associated
BRCA2,BRCA2,675,ENSG00000139618,"['1N0W', '3EU7', '6GY2', '6HQU']",BRCA2 DNA repair associated
brush border myosin-I,CAOG_07648,14895497,,,brush border myosin I
BUB3,BUB3,9184,ENSG00000154473,,BUB3 mitotic checkpoint protein
BUD1,,YGR151C,YGR151C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF RSR1/BUD1/YGR152C; relative distribution to the nucleus increases upon DNA replication stress"
BUD8,BUD8,851067,YLR353W,,Bud8p
cadherin-11,CDH11,1009,ENSG00000140937,,cadherin 11
cadherin-5,CDH5,1003,ENSG00000179776,,cadherin 5
caldesmon,CALD1,800,ENSG00000122786,,caldesmon 1
calmodulin,CALMODULIN,104311303,,,calmodulin
calreticulin,CALR,811,ENSG00000179218,"['2CLR', '3DOW', '3POS', '3POW', '5LK5', '5V90', '6ENY']",calreticulin
cap-,TCAP,8557,ENSG00000173991,"['1YA5', '2F8V']",titin-cap
CAP1,CAP1,10487,ENSG00000131236,1K8F,cyclase associated actin cytoskeleton regulatory protein 1
CAP2,CAP2,10486,ENSG00000112186,,cyclase associated actin cytoskeleton regulatory protein 2
CapG,CAPG,822,ENSG00000042493,"['1J72', '1JHW']","capping actin protein, gelsolin like"
capping protein,MIND_00335400,59342724,,,Capping protein
cardiac myosin heavy chain,LOC397881,397881,,,cardiac myosin heavy chain
cardiac ventricular myosin heavy chain,myh15.L,432231,,,myosin heavy chain 15 L homeolog
Caspase-8,CASP8,841,ENSG00000064012,"['1F9E', '1I4E', '1QDU', '1QTN', '2C2Z', '2FUN', '2K7Z', '2Y1L', '3H11', '3KJN', '3KJQ', '4JJ7', '4PRZ', '4PS1', '4ZBW', '5H31', '5H33', '5JQE', '5L08', '6AGW', '6PX9']",caspase 8
caspase-8,CASP8,841,ENSG00000064012,"['1F9E', '1I4E', '1QDU', '1QTN', '2C2Z', '2FUN', '2K7Z', '2Y1L', '3H11', '3KJN', '3KJQ', '4JJ7', '4PRZ', '4PS1', '4ZBW', '5H31', '5H33', '5JQE', '5L08', '6AGW', '6PX9']",caspase 8
caspases,PAS_chr1-4_0430,8197018,PAS_chr1-4_0430,,Putative cysteine protease similar to mammalian caspases
caspases-8,NLRP8,126205,ENSG00000179709,,NLR family pyrin domain containing 8
CAT,CAT,847,ENSG00000121691,"['1DGB', '1DGF', '1DGG', '1DGH', '1F4J', '1QQW']",catalase
catenins,PCDH12,51294,ENSG00000113555,,protocadherin 12
CD31,pecam1.S,108702860,,,platelet and endothelial cell adhesion molecule 1 S homeolog
CD34,CD34,947,ENSG00000174059,,CD34 molecule
CD44,CD44,960,ENSG00000026508,"['1POZ', '1UUH', '2I83', '4PZ3', '4PZ4', '6TXS']",CD44 molecule (Indian blood group)
cdc3+,SPAR_L03330,54632426,,,Cdc3
Cdc42,CDC42,998,ENSG00000070831,"['1A4R', '1AJE', '1AM4', '1AN0', '1CEE', '1CF4', '1DOA', '1E0A', '1EES', '1GRN', '1GZS', '1KI1', '1KZ7', '1KZG', '1NF3', '2ASE', '2DFK', '2KB0', '2NGR', '2ODB', '2QRZ', '2WM9', '2WMN', '2WMO', '3GCG', '3QBV', '3VHL', '4DID', '4ITR', '4JS0', '4YC7', '4YDH', '5CJP', '5FI1', '5HZK', '5UPK', '5UPL', '6AJ4', '6AJL', '6SIU', '6SUP', '6TKY', '6TKZ']",cell division cycle 42
CDC42Hs,TRIADDRAFT_50431,6755061,TriadG50431,,Cdc42hs complexed with A peptide derived from P-21 activated kinase
Cdc6,CDC6,990,ENSG00000094804,"['2CCH', '2CCI', '4I5L', '4I5N']",cell division cycle 6
CDK,MNAT1,4331,ENSG00000020426,"['1G25', '6NMI', '6O9L', '6O9M', '6TUN', '6XBZ', '6XD3', '7B5O', '7B5Q', '7EGB', '7EGC', '7ENA', '7ENC', '7LBM', '7NVR', '7NVW', '7NVX', '7NVY', '7NVZ', '7NW0']",MNAT1 component of CDK activating kinase
CDK2,CDK2,1017,ENSG00000123374,"['1AQ1', '1B38', '1B39', '1BUH', '1CKP', '1DI8', '1DM2', '1E1V', '1E1X', '1E9H', '1F5Q', '1FIN', '1FQ1', '1FVT', '1FVV', '1G5S', '1GIH', '1GII', '1GIJ', '1GY3', '1GZ8', '1H00', '1H01', '1H07', '1H08', '1H0V', '1H0W', '1H1P', '1H1Q', '1H1R', '1H1S', '1H24', '1H25', '1H26', '1H27', '1H28', '1HCK', '1HCL', '1JST', '1JSU', '1JSV', '1JVP', '1KE5', '1KE6', '1KE7', '1KE8', '1KE9', '1OGU', '1OI9', '1OIQ', '1OIR', '1OIT', '1OIU', '1OIY', '1OKV', '1OKW', '1OL1', '1OL2', '1P2A', '1P5E', '1PF8', '1PKD', '1PW2', '1PXI', '1PXJ', '1PXK', '1PXL', '1PXM', '1PXN', '1PXO', '1PXP', '1PYE', '1QMZ', '1R78', '1URC', '1URW', '1V1K', '1VYW', '1VYZ', '1W0X', '1W8C', '1W98', '1WCC', '1Y8Y', '1Y91', '1YKR', '2A0C', '2A4L', '2B52', '2B53', '2B54', '2B55', '2BHE', '2BHH', '2BKZ', '2BPM', '2BTR', '2BTS', '2C4G', '2C5N', '2C5O', '2C5V', '2C5X', '2C5Y', '2C68', '2C69', '2C6I', '2C6K', '2C6L', '2C6M', '2C6O', '2C6T', '2CCH', '2CCI', '2CJM', '2CLX', '2DS1', '2DUV', '2EXM', '2FVD', '2G9X', '2HIC', '2I40', '2IW6', '2IW8', '2IW9', '2J9M', '2JGZ', '2R3F', '2R3G', '2R3H', '2R3I', '2R3J', '2R3K', '2R3L', '2R3M', '2R3N', '2R3O', '2R3P', '2R3Q', '2R3R', '2R64', '2UUE', '2UZB', '2UZD', '2UZE', '2UZL', '2UZN', '2UZO', '2V0D', '2V22', '2VTA', '2VTH', '2VTI', '2VTJ', '2VTL', '2VTM', '2VTN', '2VTO', '2VTP', '2VTQ', '2VTR', '2VTS', '2VTT', '2VU3', '2VV9', '2W05', '2W06', '2W17', '2W1H', '2WEV', '2WFY', '2WHB', '2WIH', '2WIP', '2WMA', '2WMB', '2WPA', '2WXV', '2X1N', '2XMY', '2XNB', '3BHT', '3BHU', '3BHV', '3DDP', '3DDQ', '3DOG', '3EID', '3EJ1', '3EOC', '3EZR', '3EZV', '3F5X', '3FZ1', '3IG7', '3IGG', '3LE6', '3LFN', '3LFQ', '3LFS', '3MY5', '3NS9', '3PJ8', '3PXF', '3PXQ', '3PXR', '3PXY', '3PXZ', '3PY0', '3PY1', '3QHR', '3QHW', '3QL8', '3QQF', '3QQG', '3QQH', '3QQJ', '3QQK', '3QQL', '3QRT', '3QRU', '3QTQ', '3QTR', '3QTS', '3QTU', '3QTW', '3QTX', '3QTZ', '3QU0', '3QWJ', '3QWK', '3QX2', '3QX4', '3QXO', '3QXP', '3QZF', '3QZG', '3QZH', '3QZI', '3R1Q', '3R1S', '3R1Y', '3R28', '3R6X', '3R71', '3R73', '3R7E', '3R7I', '3R7U', '3R7V', '3R7Y', '3R83', '3R8L', '3R8M', '3R8P', '3R8U', '3R8V', '3R8Z', '3R9D', '3R9H', '3R9N', '3R9O', '3RAH', '3RAI', '3RAK', '3RAL', '3RJC', '3RK5', '3RK7', '3RK9', '3RKB', '3RM6', '3RM7', '3RMF', '3RNI', '3ROY', '3RPO', '3RPR', '3RPV', '3RPY', '3RZB', '3S00', '3S0O', '3S1H', '3S2P', '3SQQ', '3SW4', '3SW7', '3TI1', '3TIY', '3TIZ', '3TNW', '3ULI', '3UNJ', '3UNK', '3WBL', '4ACM', '4BCK', '4BCM', '4BCN', '4BCO', '4BCP', '4BCQ', '4BGH', '4BZD', '4CFM', '4CFN', '4CFU', '4CFV', '4CFW', '4CFX', '4D1X', '4D1Z', '4EK3', '4EK4', '4EK5', '4EK6', '4EK8', '4EOI', '4EOJ', '4EOK', '4EOL', '4EOM', '4EON', '4EOO', '4EOP', '4EOQ', '4EOR', '4EOS', '4ERW', '4EZ3', '4EZ7', '4FKG', '4FKI', '4FKJ', '4FKL', '4FKO', '4FKP', '4FKQ', '4FKR', '4FKS', '4FKT', '4FKU', '4FKV', '4FKW', '4FX3', '4GCJ', '4I3Z', '4II5', '4KD1', '4LYN', '4NJ3', '4RJ3', '5A14', '5AND', '5ANE', '5ANG', '5ANI', '5ANJ', '5ANK', '5ANO', '5CYI', '5D1J', '5FP5', '5FP6', '5IEV', '5IEX', '5IEY', '5IF1', '5JQ5', '5JQ8', '5K4J', '5L2W', '5LMK', '5MHQ', '5NEV', '5OO0', '5OO1', '5OO3', '5OSJ', '5OSM', '5UQ1', '5UQ2', '5UQ3', '6ATH', '6GUB', '6GUC', '6GUE', '6GUF', '6GUH', '6GUK', '6GVA', '6INL', '6JGM', '6OQI', '6P3W', '6Q3B', '6Q3C', '6Q3F', '6Q48', '6Q49', '6Q4A', '6Q4B', '6Q4C', '6Q4D', '6Q4E', '6Q4F', '6Q4G', '6Q4H', '6Q4I', '6Q4J', '6Q4K', '6RIJ', '6SG4', '6YL1', '6YL6', '6YLK', '7ACK', '7B5L', '7B5R', '7E34', '7KJS', '7NVQ']",cyclin dependent kinase 2
Cdk2,CDK2,1017,ENSG00000123374,"['1AQ1', '1B38', '1B39', '1BUH', '1CKP', '1DI8', '1DM2', '1E1V', '1E1X', '1E9H', '1F5Q', '1FIN', '1FQ1', '1FVT', '1FVV', '1G5S', '1GIH', '1GII', '1GIJ', '1GY3', '1GZ8', '1H00', '1H01', '1H07', '1H08', '1H0V', '1H0W', '1H1P', '1H1Q', '1H1R', '1H1S', '1H24', '1H25', '1H26', '1H27', '1H28', '1HCK', '1HCL', '1JST', '1JSU', '1JSV', '1JVP', '1KE5', '1KE6', '1KE7', '1KE8', '1KE9', '1OGU', '1OI9', '1OIQ', '1OIR', '1OIT', '1OIU', '1OIY', '1OKV', '1OKW', '1OL1', '1OL2', '1P2A', '1P5E', '1PF8', '1PKD', '1PW2', '1PXI', '1PXJ', '1PXK', '1PXL', '1PXM', '1PXN', '1PXO', '1PXP', '1PYE', '1QMZ', '1R78', '1URC', '1URW', '1V1K', '1VYW', '1VYZ', '1W0X', '1W8C', '1W98', '1WCC', '1Y8Y', '1Y91', '1YKR', '2A0C', '2A4L', '2B52', '2B53', '2B54', '2B55', '2BHE', '2BHH', '2BKZ', '2BPM', '2BTR', '2BTS', '2C4G', '2C5N', '2C5O', '2C5V', '2C5X', '2C5Y', '2C68', '2C69', '2C6I', '2C6K', '2C6L', '2C6M', '2C6O', '2C6T', '2CCH', '2CCI', '2CJM', '2CLX', '2DS1', '2DUV', '2EXM', '2FVD', '2G9X', '2HIC', '2I40', '2IW6', '2IW8', '2IW9', '2J9M', '2JGZ', '2R3F', '2R3G', '2R3H', '2R3I', '2R3J', '2R3K', '2R3L', '2R3M', '2R3N', '2R3O', '2R3P', '2R3Q', '2R3R', '2R64', '2UUE', '2UZB', '2UZD', '2UZE', '2UZL', '2UZN', '2UZO', '2V0D', '2V22', '2VTA', '2VTH', '2VTI', '2VTJ', '2VTL', '2VTM', '2VTN', '2VTO', '2VTP', '2VTQ', '2VTR', '2VTS', '2VTT', '2VU3', '2VV9', '2W05', '2W06', '2W17', '2W1H', '2WEV', '2WFY', '2WHB', '2WIH', '2WIP', '2WMA', '2WMB', '2WPA', '2WXV', '2X1N', '2XMY', '2XNB', '3BHT', '3BHU', '3BHV', '3DDP', '3DDQ', '3DOG', '3EID', '3EJ1', '3EOC', '3EZR', '3EZV', '3F5X', '3FZ1', '3IG7', '3IGG', '3LE6', '3LFN', '3LFQ', '3LFS', '3MY5', '3NS9', '3PJ8', '3PXF', '3PXQ', '3PXR', '3PXY', '3PXZ', '3PY0', '3PY1', '3QHR', '3QHW', '3QL8', '3QQF', '3QQG', '3QQH', '3QQJ', '3QQK', '3QQL', '3QRT', '3QRU', '3QTQ', '3QTR', '3QTS', '3QTU', '3QTW', '3QTX', '3QTZ', '3QU0', '3QWJ', '3QWK', '3QX2', '3QX4', '3QXO', '3QXP', '3QZF', '3QZG', '3QZH', '3QZI', '3R1Q', '3R1S', '3R1Y', '3R28', '3R6X', '3R71', '3R73', '3R7E', '3R7I', '3R7U', '3R7V', '3R7Y', '3R83', '3R8L', '3R8M', '3R8P', '3R8U', '3R8V', '3R8Z', '3R9D', '3R9H', '3R9N', '3R9O', '3RAH', '3RAI', '3RAK', '3RAL', '3RJC', '3RK5', '3RK7', '3RK9', '3RKB', '3RM6', '3RM7', '3RMF', '3RNI', '3ROY', '3RPO', '3RPR', '3RPV', '3RPY', '3RZB', '3S00', '3S0O', '3S1H', '3S2P', '3SQQ', '3SW4', '3SW7', '3TI1', '3TIY', '3TIZ', '3TNW', '3ULI', '3UNJ', '3UNK', '3WBL', '4ACM', '4BCK', '4BCM', '4BCN', '4BCO', '4BCP', '4BCQ', '4BGH', '4BZD', '4CFM', '4CFN', '4CFU', '4CFV', '4CFW', '4CFX', '4D1X', '4D1Z', '4EK3', '4EK4', '4EK5', '4EK6', '4EK8', '4EOI', '4EOJ', '4EOK', '4EOL', '4EOM', '4EON', '4EOO', '4EOP', '4EOQ', '4EOR', '4EOS', '4ERW', '4EZ3', '4EZ7', '4FKG', '4FKI', '4FKJ', '4FKL', '4FKO', '4FKP', '4FKQ', '4FKR', '4FKS', '4FKT', '4FKU', '4FKV', '4FKW', '4FX3', '4GCJ', '4I3Z', '4II5', '4KD1', '4LYN', '4NJ3', '4RJ3', '5A14', '5AND', '5ANE', '5ANG', '5ANI', '5ANJ', '5ANK', '5ANO', '5CYI', '5D1J', '5FP5', '5FP6', '5IEV', '5IEX', '5IEY', '5IF1', '5JQ5', '5JQ8', '5K4J', '5L2W', '5LMK', '5MHQ', '5NEV', '5OO0', '5OO1', '5OO3', '5OSJ', '5OSM', '5UQ1', '5UQ2', '5UQ3', '6ATH', '6GUB', '6GUC', '6GUE', '6GUF', '6GUH', '6GUK', '6GVA', '6INL', '6JGM', '6OQI', '6P3W', '6Q3B', '6Q3C', '6Q3F', '6Q48', '6Q49', '6Q4A', '6Q4B', '6Q4C', '6Q4D', '6Q4E', '6Q4F', '6Q4G', '6Q4H', '6Q4I', '6Q4J', '6Q4K', '6RIJ', '6SG4', '6YL1', '6YL6', '6YLK', '7ACK', '7B5L', '7B5R', '7E34', '7KJS', '7NVQ']",cyclin dependent kinase 2
cdk2,CDK2,1017,ENSG00000123374,"['1AQ1', '1B38', '1B39', '1BUH', '1CKP', '1DI8', '1DM2', '1E1V', '1E1X', '1E9H', '1F5Q', '1FIN', '1FQ1', '1FVT', '1FVV', '1G5S', '1GIH', '1GII', '1GIJ', '1GY3', '1GZ8', '1H00', '1H01', '1H07', '1H08', '1H0V', '1H0W', '1H1P', '1H1Q', '1H1R', '1H1S', '1H24', '1H25', '1H26', '1H27', '1H28', '1HCK', '1HCL', '1JST', '1JSU', '1JSV', '1JVP', '1KE5', '1KE6', '1KE7', '1KE8', '1KE9', '1OGU', '1OI9', '1OIQ', '1OIR', '1OIT', '1OIU', '1OIY', '1OKV', '1OKW', '1OL1', '1OL2', '1P2A', '1P5E', '1PF8', '1PKD', '1PW2', '1PXI', '1PXJ', '1PXK', '1PXL', '1PXM', '1PXN', '1PXO', '1PXP', '1PYE', '1QMZ', '1R78', '1URC', '1URW', '1V1K', '1VYW', '1VYZ', '1W0X', '1W8C', '1W98', '1WCC', '1Y8Y', '1Y91', '1YKR', '2A0C', '2A4L', '2B52', '2B53', '2B54', '2B55', '2BHE', '2BHH', '2BKZ', '2BPM', '2BTR', '2BTS', '2C4G', '2C5N', '2C5O', '2C5V', '2C5X', '2C5Y', '2C68', '2C69', '2C6I', '2C6K', '2C6L', '2C6M', '2C6O', '2C6T', '2CCH', '2CCI', '2CJM', '2CLX', '2DS1', '2DUV', '2EXM', '2FVD', '2G9X', '2HIC', '2I40', '2IW6', '2IW8', '2IW9', '2J9M', '2JGZ', '2R3F', '2R3G', '2R3H', '2R3I', '2R3J', '2R3K', '2R3L', '2R3M', '2R3N', '2R3O', '2R3P', '2R3Q', '2R3R', '2R64', '2UUE', '2UZB', '2UZD', '2UZE', '2UZL', '2UZN', '2UZO', '2V0D', '2V22', '2VTA', '2VTH', '2VTI', '2VTJ', '2VTL', '2VTM', '2VTN', '2VTO', '2VTP', '2VTQ', '2VTR', '2VTS', '2VTT', '2VU3', '2VV9', '2W05', '2W06', '2W17', '2W1H', '2WEV', '2WFY', '2WHB', '2WIH', '2WIP', '2WMA', '2WMB', '2WPA', '2WXV', '2X1N', '2XMY', '2XNB', '3BHT', '3BHU', '3BHV', '3DDP', '3DDQ', '3DOG', '3EID', '3EJ1', '3EOC', '3EZR', '3EZV', '3F5X', '3FZ1', '3IG7', '3IGG', '3LE6', '3LFN', '3LFQ', '3LFS', '3MY5', '3NS9', '3PJ8', '3PXF', '3PXQ', '3PXR', '3PXY', '3PXZ', '3PY0', '3PY1', '3QHR', '3QHW', '3QL8', '3QQF', '3QQG', '3QQH', '3QQJ', '3QQK', '3QQL', '3QRT', '3QRU', '3QTQ', '3QTR', '3QTS', '3QTU', '3QTW', '3QTX', '3QTZ', '3QU0', '3QWJ', '3QWK', '3QX2', '3QX4', '3QXO', '3QXP', '3QZF', '3QZG', '3QZH', '3QZI', '3R1Q', '3R1S', '3R1Y', '3R28', '3R6X', '3R71', '3R73', '3R7E', '3R7I', '3R7U', '3R7V', '3R7Y', '3R83', '3R8L', '3R8M', '3R8P', '3R8U', '3R8V', '3R8Z', '3R9D', '3R9H', '3R9N', '3R9O', '3RAH', '3RAI', '3RAK', '3RAL', '3RJC', '3RK5', '3RK7', '3RK9', '3RKB', '3RM6', '3RM7', '3RMF', '3RNI', '3ROY', '3RPO', '3RPR', '3RPV', '3RPY', '3RZB', '3S00', '3S0O', '3S1H', '3S2P', '3SQQ', '3SW4', '3SW7', '3TI1', '3TIY', '3TIZ', '3TNW', '3ULI', '3UNJ', '3UNK', '3WBL', '4ACM', '4BCK', '4BCM', '4BCN', '4BCO', '4BCP', '4BCQ', '4BGH', '4BZD', '4CFM', '4CFN', '4CFU', '4CFV', '4CFW', '4CFX', '4D1X', '4D1Z', '4EK3', '4EK4', '4EK5', '4EK6', '4EK8', '4EOI', '4EOJ', '4EOK', '4EOL', '4EOM', '4EON', '4EOO', '4EOP', '4EOQ', '4EOR', '4EOS', '4ERW', '4EZ3', '4EZ7', '4FKG', '4FKI', '4FKJ', '4FKL', '4FKO', '4FKP', '4FKQ', '4FKR', '4FKS', '4FKT', '4FKU', '4FKV', '4FKW', '4FX3', '4GCJ', '4I3Z', '4II5', '4KD1', '4LYN', '4NJ3', '4RJ3', '5A14', '5AND', '5ANE', '5ANG', '5ANI', '5ANJ', '5ANK', '5ANO', '5CYI', '5D1J', '5FP5', '5FP6', '5IEV', '5IEX', '5IEY', '5IF1', '5JQ5', '5JQ8', '5K4J', '5L2W', '5LMK', '5MHQ', '5NEV', '5OO0', '5OO1', '5OO3', '5OSJ', '5OSM', '5UQ1', '5UQ2', '5UQ3', '6ATH', '6GUB', '6GUC', '6GUE', '6GUF', '6GUH', '6GUK', '6GVA', '6INL', '6JGM', '6OQI', '6P3W', '6Q3B', '6Q3C', '6Q3F', '6Q48', '6Q49', '6Q4A', '6Q4B', '6Q4C', '6Q4D', '6Q4E', '6Q4F', '6Q4G', '6Q4H', '6Q4I', '6Q4J', '6Q4K', '6RIJ', '6SG4', '6YL1', '6YL6', '6YLK', '7ACK', '7B5L', '7B5R', '7E34', '7KJS', '7NVQ']",cyclin dependent kinase 2
CDK4,CDK4,1019,ENSG00000135446,"['1LD2', '2W96', '2W99', '2W9F', '2W9Z', '3G33', '5FWK', '5FWL', '5FWM', '5FWP', '6P8E', '6P8F', '6P8G', '6P8H']",cyclin dependent kinase 4
Cdk4,CDK4,1019,ENSG00000135446,"['1LD2', '2W96', '2W99', '2W9F', '2W9Z', '3G33', '5FWK', '5FWL', '5FWM', '5FWP', '6P8E', '6P8F', '6P8G', '6P8H']",cyclin dependent kinase 4
cdk4,CDK4,1019,ENSG00000135446,"['1LD2', '2W96', '2W99', '2W9F', '2W9Z', '3G33', '5FWK', '5FWL', '5FWM', '5FWP', '6P8E', '6P8F', '6P8G', '6P8H']",cyclin dependent kinase 4
CDKI,Cdkn1c,12577,ENSMUSG00000037664,,cyclin-dependent kinase inhibitor 1C (P57)
cell adhesion molecules,CEACAM6,4680,ENSG00000086548,"['4WHC', '4WTZ', '4Y8A', '4YIQ']",CEA cell adhesion molecule 6
cell adhesion proteins,Ceacam15,101434,ENSMUSG00000078795,4JGJ,carcinoembryonic antigen-related cell adhesion molecule 15
c-erbB2,ERBB2,2064,ENSG00000141736,"['1MFG', '1MFL', '1MW4', '1N8Z', '1OVC', '1QR1', '1S78', '2A91', '2JWA', '2KS1', '2L4K', '2N2A', '3BE1', '3H3B', '3MZW', '3N85', '3PP0', '3RCD', '3WLW', '3WSQ', '4GFU', '4HRL', '4HRM', '4HRN', '5K33', '5KWG', '5MY6', '5O4G', '5OB4', '5TQS', '6ATT', '6BGT', '6J71', '6LBX', '6OGE']",erb-b2 receptor tyrosine kinase 2
c-fos,c-Fos,ENSDLAG00005010958,ENSDLAG00005010958,,v-fos FBJ murine osteosarcoma viral oncogene homolog Ab
c-Jun,c-Jun,101863323,,,transcription factor AP-1-like
c-jun,c-Jun,101863323,,,transcription factor AP-1-like
c-Jun N-terminal kinase,c-Jun,101863323,,,transcription factor AP-1-like
CKI,cki,30328,,,type I cytokeratin
classical cadherin,CDH22,64405,ENSG00000149654,,cadherin 22
clusterin,CLU,1191,ENSG00000120885,,clusterin
c-Myc,c-myc,110535641,ENSOMYG00000039293,,transcriptional regulator Myc-like
collagen,LOC105373989,105373989,,,putative cuticle collagen 91
collagen type IV,IV,8114,,,"inversus situs, viscerum"
collapsin-1,crmp1,ENSCCRG00000004057,ENSCCRG00000004057,,collapsin response mediator protein 1
creatine kinase,CKB,1152,ENSG00000166165,"['3B6R', '3DRB', '3DRE', '6V9H']",creatine kinase B
